"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.6466173962086,0.143808856083589,-32.3110656933934,4.890754039922e-229
"bin.lag.scale",0.0979283160095896,0.0878646775996308,1.11453565511064,0.265049457099992
"bin.n.scale",-0.907401745762415,1.130727416609,-0.802493803929925,0.422267371125553
"tsLength.scale",1.14060846216377,1.09369477481075,1.04289467997243,0.296997073846283
"tsRichness.scale",0.114785890337678,0.109359605846203,1.04961872758672,0.293893443277862
"elev.scale",-0.337547113186681,0.0957744243087117,-3.52439720335628,0.000424447468978945
