"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.08718736931083,0.0456805494973848,-89.4732531521937,0
"REGIONNorth America",-0.367412546642373,0.0791187146750128,-4.64381339044185,3.420365219756e-06
"bin.lag.scale",0.324512209457561,0.0239059648381128,13.5745288531587,5.67071634033448e-42
"bin.n.scale",-0.517492286870844,0.0457020429564243,-11.3231762388447,1.00754003100042e-29
"tsLength.scale",0.420231030862816,0.0438678213220631,9.57948259562785,9.75323020847682e-22
"tsRichness.scale",0.118082434955288,0.0349596411564078,3.37767869032157,0.000731004412899705
"elev.scale",-0.0584108636465143,0.0292503148302661,-1.99693110947561,0.0458326671721916
