"","edf","Ref.df","Chi.sq","p-value"
"s(bins):REGIONEurope",12.4547468763588,15.446577509521,118.389583912767,0
"s(bins):REGIONNorth America",13.8982888799713,17.1847879506845,191.712200071632,0
